id,en,es,ja,zh,hi,fr,ar
hud.attribute_value,{attribute} ({value}),{atributo} ({valor}),{属性} ({値}),属性（值）,{मान बताइए}),{attribut} ({valeur}),{الخاصية} ({القيمة})
hud.attributes,Attributes: {attributes},Atributos: {atributos},属性: {attributes},属性：{attributes},विशेषताएँ: {विशेषताएँ},Attributs : {attributs},السمات: {السمات}
hud.auto_battle,Auto Act,Ley de automóviles,自動実行,自动行为,ऑटो एक्ट,Auto Act,قانون السيارات
hud.auto_battle_on,Auto Act (On),Actuar automáticamente (activado),自動動作（オン）,自动行为（开启）,ऑटो एक्ट (चालू),Action automatique (activée),التشغيل التلقائي (تشغيل)
hud.auto_battle_tooltip,Let the team handle actions until cancelled.,Deje que el equipo gestione las acciones hasta que se cancelen.,キャンセルされるまでは、チームが対応します。,让团队处理后续事宜，直到取消为止。,रद्द होने तक टीम को कार्रवाई संभालने दें।,Laisser l'équipe gérer les actions jusqu'à annulation.,دع الفريق يتولى الإجراءات حتى يتم إلغاؤها.
hud.combat_preview.can_attack,Can Attack: {value},Puede atacar: {valor},攻撃可能: {値},可攻击：{value},हमला कर सकता है: {value},Peut attaquer : {valeur},إمكانية الهجوم: {القيمة}
hud.combat_preview.faction,Faction: {faction},Facción: {facción},派閥: {faction},阵营：{faction},गुट: {गुट},Faction : {faction},الفصيل: {faction}
hud.combat_preview.range,Range: {distance} / {max_range},Alcance: {distancia} / {rango_máximo},範囲: {距離} / {最大範囲},范围：{距离} / {最大范围},रेंज: {दूरी} / {अधिकतम_रेंज},Portée : {distance} / {portée_max},المدى: {المسافة} / {أقصى مدى}
hud.combat_preview.target,Target: {name},Objetivo: {nombre},対象: {name},目标：{name},लक्ष्य: {नाम},Cible : {name},الهدف: {الاسم}
hud.combat_preview.willpower,WP: {current}/{max},WP: {current}/{max},WP: {current}/{max},WP: {current}/{max},WP: {वर्तमान}/{अधिकतम},WP : {actuel}/{max},WP: {current}/{max}
hud.defender,Defender: {name},Defensor: {nombre},ディフェンダー：{name},防御者：{name},रक्षक: {नाम},Défenseur : {nom},المدافع: {الاسم}
hud.direction_n,N,norte,N,N,एन,N,شمال
hud.direction_ne,NE,nordeste,北東,东北,एनई,NE,شمال شرق
hud.direction_nw,NW,noroeste,北西,西北,उत्तर पश्चिम,NO,شمال غرب
hud.direction_s,S,S,S,S,एस,S,S
hud.direction_se,SE,SE,SE,东南,से,SE,جنوب شرق
hud.direction_sw,SW,SUDOESTE,SW,西南,दक्षिण पश्चिम,SW,جنوب غرب
hud.end_turn,End Turn,Fin del giro,エンドターン,回合结束,मुड़व का अंत,Tourner en fin de virage,نهاية المنعطف
hud.enemy_fallback,Enemy,Enemigo,敵,敌人,दुश्मन,Ennemi,العدو
hud.enemy_unit_selected,Enemy unit selected,Unidad enemiga seleccionada,敵ユニットが選択されました,敌方单位已选定,दुश्मन इकाई का चयन किया गया,Unité ennemie sélectionnée,تم تحديد وحدة العدو
hud.faction_enemy,Enemy,Enemigo,敵,敌人,दुश्मन,Ennemi,العدو
hud.faction_neutral,Neutral,Neutral,中性,中性的,तटस्थ,Neutre,حيادي
hud.faction_static,Static,Estático,静的,静止的,स्थिर,Statique,ثابت
hud.faction_player,Player,Jugador,プレーヤー,玩家,खिलाड़ी,Joueur,اللاعب
hud.forecast_counter_damage,Counter Damage: {counter},Daño de contraataque: {contraataque},カウンターダメージ：{カウンター},反击伤害：{counter},प्रतिकार क्षति: {प्रतिकार},Contre-dégâts : {contre},الضرر المضاد: {العداد}
hud.forecast_hover,Hover to see forecast,Pase el cursor para ver el pronóstico.,カーソルを合わせると予報が表示されます,鼠标悬停即可查看预测,पूर्वानुमान देखने के लिए माउस को उस पर ले जाएं,Passez votre souris dessus pour voir les prévisions,مرر المؤشر لعرض التوقعات
hud.forecast_potential_damage,Potential Damage: {dmg},Daño potencial: {dmg},潜在的なダメージ: {dmg},潜在伤害：{dmg},संभावित क्षति: {dmg},Dégâts potentiels : {dmg},الضرر المحتمل: {dmg}
hud.generic_no,No,No,いいえ,不,नहीं,Non,لا
hud.generic_yes,Yes,Sí,はい,是的,हाँ,Oui,نعم
hud.hint_convince_neutral,Persuade neutral unit.,Persuadir a una unidad neutral.,中立ユニットを説得する。,说服中立单位。,तटस्थ इकाई को राजी करें।,Persuader une unité neutre.,إقناع وحدة محايدة.
hud.hint_explore_location,Requires an attribute check to explore.,Requiere una comprobación de atributos para explorar.,探索するには属性チェックが必要です。,需要进行属性检查才能进行探索。,अन्वेषण के लिए एक विशेषता जांच की आवश्यकता है।,Nécessite une vérification d'attribut pour être exploré.,يتطلب الأمر فحصًا للسمات لاستكشافها.
hud.hint_visit_location,Unopposed interaction.,Interacción sin oposición.,抵抗のない相互作用。,不受阻碍的互动。,बिना किसी विरोध के बातचीत।,Interaction sans opposition.,تفاعل غير معارض.
hud.items,Items: {items},Artículos: {items},アイテム: {アイテム},物品：{items},आइटम: {आइटम},Articles : {articles},العناصر: {items}
hud.journal_no_topics,No Topics,No hay temas,トピックなし,无主题,कोई विषय नहीं,Aucun sujet,لا توجد مواضيع
hud.journal_no_topics_desc,No entries have been unlocked in this section yet.,Aún no se ha desbloqueado ninguna entrada en esta sección.,このセクションでは、まだ何もロック解除されていません。,本部分目前还没有解锁任何条目。,इस अनुभाग में अभी तक कोई प्रविष्टि अनलॉक नहीं की गई है।,Aucune entrée n'a encore été déverrouillée dans cette section.,لم يتم فتح أي مدخلات في هذا القسم حتى الآن.
hud.journal_select_topic,Select a Topic,Seleccione un tema,トピックを選択してください,选择一个主题,एक विषय का चयन करें,Sélectionnez un sujet,اختر موضوعًا
hud.journal_select_topic_desc,Choose a section and a topic from the lists on the left to view documentation.,Seleccione una sección y un tema de las listas de la izquierda para ver la documentación.,ドキュメントを表示するには、左側のリストからセクションとトピックを選択してください。,从左侧列表中选择一个章节和一个主题来查看文档。,दस्तावेज़ देखने के लिए बाईं ओर दी गई सूचियों में से एक अनुभाग और एक विषय चुनें।,Choisissez une section et un sujet dans les listes de gauche pour consulter la documentation.,اختر قسمًا وموضوعًا من القوائم الموجودة على اليسار لعرض الوثائق.
hud.location_action_available_explore,[ACTION AVAILABLE: EXPLORE],[ACCIÓN DISPONIBLE: EXPLORAR],[利用可能なアクション：探索],【可执行操作：探索】,[उपलब्ध कार्रवाई: अन्वेषण करें],[ACTION DISPONIBLE : EXPLORER],[الخيار المتاح: استكشف]
hud.location_description_label,Description: {description},Descripción: {descripción},説明: {description},描述：{description},विवरण: {description},Description : {description},الوصف: {description}
hud.location_fallback_name,location,ubicación,位置,地点,जगह,emplacement,موقع
hud.location_label,location: {name},Ubicación: {nombre},場所: {名前},地点：{name},स्थान: {नाम},emplacement : {nom},الموقع: {الاسم}
hud.location_name_label,Location Name: {name},Nombre de la ubicación: {nombre},場所名: {name},地点名称：{name},स्थान का नाम: {नाम},Nom du lieu : {name},اسم الموقع: {name}
hud.location_progress,P: {player} / E: {enemy},P: {jugador} / E: {enemigo},P: {プレイヤー} / E: {敵},P：{玩家} / E：{敌人},P: {खिलाड़ी} / E: {दुश्मन},P : {joueur} / E : {ennemi},P: {اللاعب} / E: {العدو}
hud.location_required,Required: {amount},Requerido: {cantidad},必須：{金額},必填：{金额},आवश्यक राशि},Obligatoire : {montant},المطلوب: {المبلغ}
hud.location_stat_boosts,Stat Boosts:,Mejoras de estadísticas:,ステータスブースト：,属性提升：,स्टेट बूस्ट:,Améliorations des statistiques :,تعزيزات الإحصائيات:
hud.location_task_label,Task: {title} ({current}/{required}),Tarea: {título} ({actual}/{obligatorio}),タスク: {title} ({current}/{required}),任务：{title}（{current}/{required}）,कार्य: {शीर्षक} ({वर्तमान}/{आवश्यक}),Tâche : {title} ({current}/{required}),المهمة: {العنوان} ({الحالي}/{المطلوب})
hud.location_type,Type: {type},Tipo: {type},タイプ: {type},类型：{type},प्रकार: {प्रकार},Type : {type},النوع: {type}
hud.loot_empty,Loot: (Empty),Botín: (Vacío),戦利品：（空）,战利品：（空）,लूट: (खाली),Butin : (Vide),الغنائم: (فارغة)
hud.loot_label,Loot:,Botín:,戦利品：,抢劫：,लूट:,Butin:,نهب:
hud.morale_enemy,Enemy: {ratio}%,Enemigo: {ratio}%,敵: {比率}%,敌人：{ratio}%,शत्रु: {अनुपात}%,Ennemi : {ratio}%,العدو: {النسبة}%
hud.morale_neutral,Neutral: {ratio}%,Neutro: {ratio}%,中立：{比率}％,中性：{比率}%,तटस्थ: {अनुपात}%,Neutre : {ratio}%,محايد: {النسبة}%
hud.morale_player,Player: {ratio}%,Jugador: {ratio}%,プレイヤー: {比率}%,玩家：{ratio}%,खिलाड़ी: {अनुपात}%,Joueur : {ratio}%,اللاعب: {النسبة}%
hud.movement_summary,Moves: {moves}/{max_moves} | Action: {action},Movimientos: {moves}/{max_moves} | Acción: {action},移動回数：{moves}/{max_moves} | アクション：{action},步数：{moves}/{max_moves} | 动作：{action},चालें: {चालें}/{अधिकतम_चालें} | क्रिया: {क्रिया},Déplacements : {moves}/{max_moves} | Action : {action},عدد الحركات: {moves}/{max_moves} | الحركة: {action}
hud.no_actions_available,No actions available,No hay acciones disponibles,操作はできません,暂无可用操作,कोई कार्रवाई उपलब्ध नहीं है,Aucune action disponible,لا توجد إجراءات متاحة
hud.no_attributes_available,No attributes available,No hay atributos disponibles,属性がありません,暂无可用属性,कोई विशेषताएँ उपलब्ध नहीं हैं,Aucun attribut disponible,لا توجد سمات متاحة
hud.no_forecast,No forecast data,No hay datos de pronóstico,予測データなし,无预测数据,कोई पूर्वानुमान डेटा उपलब्ध नहीं है,Aucune donnée prévisionnelle,لا توجد بيانات تنبؤية
hud.no_unit_selected,No unit selected,No se ha seleccionado ninguna unidad.,ユニットが選択されていません,未选择单位,कोई इकाई चयनित नहीं,Aucune unité sélectionnée,لم يتم تحديد وحدة
hud.pause,Pause,Pausa,一時停止,暂停,विराम,Pause,يوقف
hud.pause_tooltip,Open game menu.,Abrir el menú del juego.,ゲームメニューを開く。,打开游戏菜单。,गेम मेनू खोलें।,Ouvrir le menu du jeu.,افتح قائمة اللعبة.
hud.round_label,Round: {round},Ronda: {ronda},ラウンド: {ラウンド},圆：{round},गोल: {गोल},Rond : {rond},الجولة: {round}
hud.select_attribute,Select an attribute for {action},Seleccione un atributo para {acción},{action} の属性を選択してください。,选择 {action} 的属性,{action} के लिए एक विशेषता चुनें,Sélectionnez un attribut pour {action},حدد سمة لـ {action}
hud.select_attribute_title,Select Attribute,Seleccionar atributo,属性を選択,选择属性,विशेषता का चयन करें,Sélectionner l'attribut,تحديد السمة
hud.select_target,Select Target,Seleccionar objetivo,対象を選択,选择目标,लक्ष्य का चयन करें,Sélectionner la cible,حدد الهدف
hud.status_busy,Narrative,Narrativo,物語,叙述,आख्यान,Narratif,رواية
hud.status_ok,Status: OK,Estado: OK,ステータス: OK,状态：正常,स्थिति: ठीक है,Statut : OK,الحالة: موافق
hud.status_stuck,Status: STUCK!,Estado: ¡ATASCADO!,状態：行き詰まっています！,状态：卡住了！,स्थिति: अटका हुआ!,Statut : BLOQUÉ !,الحالة: عالق!
hud.target_generic,Target,Objetivo,ターゲット,目标,लक्ष्य,Cible,هدف
hud.target_move_suffix,(Move),(Mover),（動く）,（移动）,(कदम),(Se déplacer),(يتحرك)
hud.target_na,N/A,N / A,該当なし,不适用,लागू नहीं,N / A,غير متوفر
hud.target_trapped_loot,Trapped Loot,Botín atrapado,罠にかかった戦利品,陷阱战利品,फंसा हुआ लूट,Butin piégé,غنائم محاصرة
hud.target_unknown,Unknown Target,Objetivo desconocido,未知の標的,未知目标,अज्ञात लक्ष्य,Cible inconnue,هدف غير معروف
hud.task_completed,Completed,Terminado,完了,完全的,पुरा होना।,Complété,مكتمل
hud.task_description_label,Task Description: {description},Descripción de la tarea: {descripción},タスクの説明: {description},任务描述：{description},कार्य विवरण: {description},Description de la tâche : {description},وصف المهمة: {description}
hud.task_in_progress,In Progress,En curso,進行中,进行中,प्रगति पर है,En cours,في تَقَدم
hud.task_name_label,Task Name: {title},Nombre de la tarea: {título},タスク名: {title},任务名称：{title},कार्य का नाम: {शीर्षक},Nom de la tâche : {title},اسم المهمة: {title}
hud.task.required,Required,Requerido,必須,必需的,आवश्यक,Requis,مطلوب
hud.task.optional,Optional,Opcional,オプション,选修的,वैकल्पिक,Facultatif,خياري
hud.task_status_label,Status: {status},Estado: {estado},ステータス: {status},状态：{status},स्थिति: {status},Statut : {statut},الحالة: {status}
hud.task_unknown,Unknown Task,Tarea desconocida,不明なタスク,未知任务,अज्ञात कार्य,Tâche inconnue,مهمة غير معروفة
hud.terrain_effect_ends_turn,Ends Turn,Finales del giro,エンドターン,结束回合,बारी समाप्त होती है,Fins Tour,نهاية المنعطف
hud.terrain_effect_impassable,Impassable,Infranqueable,通行不能,不可逾越,अगम्य,Infranchissable,لا يمكن اجتيازه
hud.terrain_fallback_name,Terrain,Terreno,地形,地形,इलाके,Terrain,التضاريس
hud.turn_counter,Turn {turn_number},Gire {número_de_giro},ターン{turn_number},转弯 {turn_number},बारी {turn_number},Tourner {turn_number},انعطف {turn_number}
hud.turn_enemy,Enemy,Enemigo,敵,敌人,दुश्मन,Ennemi,العدو
hud.turn_label,Turn: {side},Gire: {lado},ターン：{サイド},转向：{侧},मोड़: {पक्ष},Tourner : {côté},انعطف: {جانب}
hud.turn_neutral,Neutral,Neutral,中性,中性的,तटस्थ,Neutre,حيادي
hud.turn_player,Player,Jugador,プレーヤー,玩家,खिलाड़ी,Joueur,اللاعب
hud.unit_name_fallback,Unit,Unidad,ユニット,单元,इकाई,Unité,وحدة
hud.unit_stats,{faction} | WP: {current}/{max},{facción} | WP: {actual}/{máx},{派閥} | WP: {現在}/{最大},{派系} | WP: {当前}/{最大},{गुट} | WP: {वर्तमान}/{अधिकतम},{faction} | WP : {actuel}/{max},{faction} | WP: {current}/{max}
hud.weather_current,Current: {name},Actual: {nombre},現在: {name},当前：{name},वर्तमान: {नाम},Actuel : {nom},الحالي: {الاسم}
hud.weather_next_round,Next Round: {name},Siguiente ronda: {nombre},次のラウンド：{名前},下一轮：{name},अगला दौर: {नाम},Prochain tour : {name},الجولة التالية: {name}
hud.weather_no_active,No active weather.,No hay actividad meteorológica.,異常気象はありません。,无活跃天气。,मौसम में कोई बदलाव नहीं।,Météo en berne.,لا توجد أحوال جوية نشطة.
hud.weather_no_pressures,No pressures active.,No hay presiones activas.,有効な圧力はありません。,没有压力激活。,कोई दबाव सक्रिय नहीं है।,Aucune pression active.,لا توجد ضغوط نشطة.
hud.weather_pressures,Pressures: {pressures},Presiones: {presiones},圧力: {圧力},压力：{pressures},दबाव: {दबाव},Pressions : {pressions},الضغوط: {الضغوط}
trapped,Investigate Trap,Investigar la trampa,罠を調査する,调查陷阱,जाल की जांच करें,Enquêter sur le piège,التحقيق في الفخ
gather,Gather,Recolectar,集める,收集,इकट्ठा करना,Rassembler,يجتمع
explore,Explore,Explorar,探検する,探索,अन्वेषण करना,Explorer,يستكشف
visit,Visit,Visita,訪問,访问,मिलने जाना,Visite,يزور
menus.title.continue,Continue,Continuar,続く,继续,जारी रखना,Continuer,يكمل
menus.title.heading,HEX,MALEFICIO,16進数,六边形,हेक्स,HEX,عرافة
menus.title.level_select,Level Select,Selección de nivel,レベル選択,关卡选择,स्तर चयन,Sélection du niveau,تحديد المستوى
menus.title.play,Play,Jugar,遊ぶ,玩,खेल,Jouer,يلعب
menus.title.quit,Quit,Abandonar,やめる,辞职,छोड़ना,Quitter,يترك
move,Move ({spaces} spaces),Mover ({espacios} espacios),（{スペース} スペース）を移動します,移动（{空格} 个空格）,({स्थान} स्थान) को स्थानांतरित करें,Déplacer ({espaces} espaces),انقل ({مسافات} مسافات)
skill,{skill_name},{skill_name},{スキル名},技能名称,{skill_name},{nom_de_la_compétence},{اسم_المهارة}
fight,Fight,Luchar,戦い,斗争,झगड़ा करना,Lutte,يعارك
convince,Talk,Hablar,話す,讲话,बात करना,Parler,يتحدث
wait,Wait / End Turn,Esperar / Fin del turno,待機／ターン終了,等待/结束回合,प्रतीक्षा करें / बारी समाप्त करें,Attendre / Fin du tour,انتظر / أنهِ الدور
cmd.error.target_not_found,Target unit not found at given index,No se encontró la unidad objetivo en el índice especificado.,指定されたインデックスにターゲットユニットが見つかりません,在给定索引处未找到目标单元,दिए गए इंडेक्स पर लक्षित इकाई नहीं मिली,Unité cible introuvable à l'index indiqué,لم يتم العثور على الوحدة المستهدفة في الفهرس المحدد
cmd.error.cannot_aid_self,Cannot aid self,No puede ayudarse a sí mismo,自力で助けることができない,无法自救,स्वयं की सहायता नहीं कर सकता,Je ne peux pas m'aider moi-même,لا يستطيع مساعدة نفسه
cmd.error.allies_only,Can only aid allies,Solo puede ayudar a los aliados,同盟国のみを支援可能,只能援助盟友,केवल सहयोगियों की सहायता कर सकते हैं,Ne peut aider que les alliés,لا يمكنه مساعدة إلا الحلفاء
cmd.error.target_defeated,Target is already defeated,El objetivo ya ha sido derrotado.,標的は既に倒された,目标已被击败。,लक्ष्य पहले ही पराजित हो चुका है,La cible est déjà vaincue,تم هزيمة الهدف بالفعل
cmd.error.full_willpower,Target is already at full willpower,Target ya está en plena capacidad de voluntad.,対象は既に意志力を最大限に発揮している,目标人物已拥有全部意志力,लक्ष्य पहले से ही पूरी इच्छाशक्ति के साथ है,La cible a déjà atteint son maximum de volonté.,تارجت بالفعل في كامل إرادتها
cmd.error.not_near,Target is not near,El objetivo no está cerca,ターゲットは近くにない,目标不在附近,लक्ष्य अभी नजदीक नहीं है,La cible n'est pas à proximité.,الهدف ليس قريباً
cmd.error.cannot_attack_self,Cannot attack self,No puede atacarse a sí mismo,自分自身を攻撃することはできない,不能攻击自身,खुद पर हमला नहीं कर सकते,Impossible de s'attaquer soi-même,لا يستطيع مهاجمة نفسه
cmd.error.cannot_attack_allies,Cannot attack allies,No puede atacar a los aliados.,味方を攻撃することはできない,不能攻击盟友,सहयोगियों पर हमला नहीं कर सकते,Impossible d'attaquer les alliés,لا يمكنه مهاجمة الحلفاء
cmd.error.no_move_to_cancel,No move to cancel,No hay intención de cancelar,キャンセルする動きはない,没有取消的动议,रद्द करने का कोई कदम नहीं उठाया गया,Aucune mesure d'annulation,لا توجد أي خطوة لإلغاء القرار
cmd.error.no_move_to_confirm,No tentative move to confirm,No hay ningún movimiento tentativo para confirmar,確認に向けた暫定的な動きはない,暂无初步确认行动,पुष्टि करने के लिए कोई अस्थायी कदम नहीं उठाया गया है,Aucune tentative de confirmation,لم يتم اتخاذ أي خطوة مبدئية للتأكيد
cmd.error.not_neutral,Target is not neutral,El objetivo no es neutral.,ターゲットは中立ではない,目标并非中立,लक्ष्य तटस्थ नहीं है,La cible n'est pas neutre,الهدف ليس محايدًا
cmd.error.cannot_persuade,Target cannot be persuaded,El objetivo no se deja convencer.,対象者を説得することはできない,目标人物无法被说服,लक्ष्य को राजी नहीं किया जा सकता,La cible ne peut être persuadée,لا يمكن إقناع الهدف
cmd.error.static_unit,Target is static and cannot be convinced,El objetivo es estático y no se puede convencer.,対象は静的であり、説得することはできない。,目标是静止的，无法说服。,लक्ष्य स्थिर है और उसे समझाया नहीं जा सकता।,La cible est statique et ne peut être convaincue.,الهدف ثابت ولا يمكن إقناعه
cmd.error.no_unit_selected,No unit selected,No se ha seleccionado ninguna unidad.,ユニットが選択されていません,未选择单位,कोई इकाई चयनित नहीं,Aucune unité sélectionnée,لم يتم تحديد وحدة
cmd.error.insufficient_ap,Insufficient AP,AP insuficiente,AP不足,AP不足,अपर्याप्त एपी,AP insuffisant,نقاط الوصول غير كافية
terrain.effect.soot,Soot,Hollín,すす,煤烟,कालिख,Suie,سخام
terrain.effect.energized,Energized,Energizado,活力を得た,充满活力,सक्रिय,Énergisé,مُنشّط
terrain.effect.refreshed,Refreshed,Renovado,リフレッシュ,焕然一新,ताज़ा किया,Rafraîchi,منتعش
terrain.effect.mystified,Mystified,Desconcertado,困惑した,困惑,चक्कर में पड़,Mystifié,حائر
terrain.effect.fortified,Fortified,Fortificado,強化された,强化,दृढ़,Fortifié,محصن
terrain.effect.cursed,Cursed,Maldito,呪われた,被诅咒的,शापित,Maudit,ملعون
terrain.effect.heightadvantage,Height Advantage,Ventaja de altura,高さのアドバンテージ,高度优势,ऊंचाई का लाभ,Avantage de la taille,ميزة الطول
terrain.effect.slippery,Slippery,Resbaladizo,滑りやすい,滑,फिसलाऊ,Glissant,زلق
terrain.effect.guarded,Guarded,Guardado,警戒,戒备森严,पहरा,Gardé,محروس
terrain.effect.burning,Burning,Incendio,燃焼,燃烧,जलना,Brûlant,يحترق
terrain.effect.sanctuary,Sanctuary,Santuario,聖域,避难所,अभयारण्य,Sanctuaire,ملاذ
terrain.effect.stuck,Stuck,Atascado,立ち往生,卡住,अटक गया,Bloqué,عالق
terrain.effect.wet,Wet,Húmedo,濡れた,湿的,गीला,Mouillé,مبتل
terrain.effect.bogged,Bogged,Atascado,泥にはまった,陷入泥潭,फंस गया,Enlisée,عالق
terrain.effect.entangled,Entangled,Enredado,絡み合った,纠缠,उलझा हुआ,Enchevêtré,متشابك
cmd.error.cannot_convince_self,Cannot convince self,No puedo convencerme a mí mismo,自分自身を納得させることができない,无法说服自己,खुद को मना नहीं सकता,Je n'arrive pas à me convaincre moi-même,لا يستطيع إقناع نفسه
cmd.error.task_id_required,Task ID required for exploration,Se requiere el ID de la tarea para la exploración.,探索にはタスクIDが必要です,探索所需的任务 ID,अन्वेषण के लिए कार्य आईडी आवश्यक है,L'identifiant de tâche est requis pour l'exploration.,مطلوب معرّف المهمة للاستكشاف
cmd.error.task_not_found,Task not found: {id},Tarea no encontrada: {id},タスクが見つかりません: {id},未找到任务：{id},कार्य नहीं मिला: {id},Tâche introuvable : {id},لم يتم العثور على المهمة: {id}
cmd.error.explore_failed,Explore failed,Exploración fallida,探索に失敗しました,探索失败,अन्वेषण विफल रहा,Explorer l'échec,فشلت عملية الاستكشاف
cmd.error.invalid_location_payload,Payload must be a valid Location or task_id resolving to one,La carga útil debe ser una ubicación válida o un task_id que se resuelva en uno.,ペイロードは有効なロケーションまたはタスクIDである必要があります,有效载荷必须是有效的 Location 或 task_id，且该 task_id 必须解析为一个值。,पेलोड एक वैध लोकेशन या टास्क_आईडी होना चाहिए जो इनमें से किसी एक में परिवर्तित हो सके।,La charge utile doit être un emplacement ou un identifiant de tâche valide correspondant à l'un des suivants :,يجب أن تكون الحمولة عبارة عن موقع صالح أو معرف مهمة يتم حله إلى واحد
cmd.error.visit_failed,Visit failed,La visita falló.,訪問に失敗しました,访问失败,यात्रा असफल रही,La visite a échoué,فشلت الزيارة
cmd.error.active_task_required,No active task for this location,No hay ninguna tarea activa para esta ubicación.,この場所ではアクティブなタスクはありません,此位置没有活动任务,इस स्थान के लिए कोई सक्रिय कार्य नहीं है,Aucune tâche active pour cet emplacement,لا توجد مهام نشطة لهذا الموقع
cmd.error.location_reached,Location already reached,Ubicación ya alcanzada,目的地に既に到着しました,已到达目的地,पहले ही पहुँच चुके स्थान पर पहुँच चुके हैं,Lieu déjà atteint,تم الوصول إلى الموقع بالفعل
cmd.error.move_locked,Move is locked,El movimiento está bloqueado,移動がロックされています,移动已锁定,स्थानांतरण लॉक है,Le déplacement est verrouillé.,تم قفل الحركة
cmd.error.cannot_act,Cannot act on selected unit,No se puede actuar sobre la unidad seleccionada.,選択したユニットに対して操作を行うことはできません,无法对选定的单元执行操作,चयनित इकाई पर कार्रवाई नहीं की जा सकती,Impossible d'agir sur l'unité sélectionnée,لا يمكن اتخاذ إجراء على الوحدة المحددة
cmd.error.invalid_direction,Direction not found in map,Dirección no encontrada en el mapa,地図上に方向が見つかりません,地图上未找到方向,मानचित्र में दिशा नहीं मिली,Direction introuvable sur la carte,لم يتم العثور على الاتجاه في الخريطة
cmd.error.out_of_bounds,Target out of bounds,Objetivo fuera de límites,ターゲットが範囲外です,目标出界,लक्ष्य सीमा से बाहर है,Cible hors limites,الهدف خارج الحدود
cmd.error.target_occupied,Target occupied,Objetivo ocupado,目標占有,目标已占领,लक्ष्य पर कब्जा कर लिया गया है,Cible occupée,الهدف مشغول
cmd.error.terrain_impassable,Terrain impassable,Terreno intransitable,通行不能な地形,地形无法通行,दुर्गम भूभाग,Terrain impraticable,تضاريس وعرة لا يمكن اجتيازها
cmd.error.insufficient_movement,Insufficient movement points,Puntos de movimiento insuficientes,移動ポイントが不足しています,移动点数不足,अपर्याप्त गति बिंदु,Points de mouvement insuffisants,نقاط حركة غير كافية
msg.game_over_morale,GAME OVER! Morale Broken!,¡FIN DEL JUEGO! ¡Moral rota!,ゲームオーバー！士気崩壊！,游戏结束！士气低落！,खेल समाप्त! मनोबल टूट गया!,FIN DE LA PARTIE ! Le moral est au plus bas !,انتهت اللعبة! تحطمت المعنويات!
